lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX
86439.752886083,-19.53125,-34.66796875,-60.546875,7.32421875,0.0
86439.769107791,-28.3203125,-38.0859375,-41.50390625,-22.94921875,0.0
86439.773014041,0.9765625,-36.62109375,-23.4375,-44.43359375,0.0
86439.762877791,-1.953125,-27.34375,-21.97265625,-25.87890625,0.0
86439.766784041,-30.76171875,-30.2734375,-35.15625,-18.06640625,0.0
86439.770690291,-65.4296875,-41.015625,-47.8515625,-29.78515625,0.0
86439.774596541,-44.43359375,-44.921875,-47.36328125,-26.85546875,0.0
86439.778502791,-21.484375,-47.8515625,-50.78125,-15.625,0.0
86439.782409041,-22.4609375,-43.9453125,-50.29296875,-9.27734375,0.0
86439.786315291,-32.2265625,-31.25,-35.64453125,-20.5078125,0.0
86439.790221541,-30.76171875,-24.4140625,-14.16015625,-53.22265625,0.0
86439.794127791,-5.859375,-33.69140625,-22.94921875,-73.2421875,0.0
86439.798034041,-6.34765625,-41.50390625,-40.52734375,-44.43359375,0.0
86439.802275041,-33.69140625,-30.2734375,-42.96875,-21.484375,0.0
86439.806181291,-48.828125,-34.1796875,-52.734375,-37.109375,0.0
86439.810087541,-34.66796875,-39.55078125,-58.59375,-49.8046875,0.0
86439.813993791,-24.90234375,-39.55078125,-51.26953125,-35.15625,0.0
86439.817900041,-38.57421875,-36.62109375,-39.55078125,-14.16015625,0.0
86439.821806291,-45.41015625,-32.2265625,-43.45703125,-15.625,0.0
86439.825712541,-23.92578125,-36.1328125,-47.36328125,-25.390625,0.0
86439.829618791,-28.80859375,-42.96875,-38.0859375,-24.90234375,0.0
86439.833525041,-52.24609375,-42.96875,-41.015625,-22.94921875,0.0
86439.837431291,-48.33984375,-36.62109375,-49.8046875,-32.2265625,0.0
86439.841337541,-18.5546875,-23.92578125,-45.8984375,-37.59765625,0.0
86439.845243791,-5.37109375,-20.5078125,-39.55078125,-34.1796875,0.0
86439.845273208,-7.8125,-30.76171875,-34.66796875,-12.6953125,0.0
86439.849179458,-29.78515625,-33.203125,-45.41015625,9.27734375,0.0
86439.853085708,-22.4609375,-31.73828125,-54.6875,-3.90625,0.0
86439.856991958,-24.90234375,-37.59765625,-44.43359375,-23.4375,0.0
86439.860898208,-41.50390625,-48.33984375,-41.015625,-34.1796875,0.0
86439.864804458,-54.19921875,-45.41015625,-47.8515625,-39.0625,0.0
86439.868710708,-51.26953125,-34.66796875,-49.8046875,-50.29296875,0.0
