lsl_timestamp,TP9,AF7,AF8,TP10
440788.629196083,4.39453125,-46.875,125.48828125,-6.8359375
440788.633102333,5.859375,-45.41015625,805.6640625,-0.48828125
440788.637008583,-21.97265625,-44.43359375,83.49609375,-5.859375
440788.640914833,-29.78515625,-41.50390625,-292.48046875,-17.578125
440788.646683291,-3.90625,-42.96875,315.91796875,-24.90234375
440788.650589541,14.6484375,-37.59765625,804.19921875,-29.296875
440788.654495791,-9.27734375,-40.52734375,176.26953125,-12.6953125
440788.658402041,-37.109375,-43.45703125,-381.8359375,-16.6015625
440788.662308291,-29.78515625,-34.66796875,100.5859375,-24.90234375
440788.666214541,-6.8359375,-35.15625,531.73828125,-13.18359375
440788.670120791,-14.6484375,-42.96875,-24.90234375,-17.08984375
440788.674027041,-45.41015625,-45.8984375,-910.15625,-21.97265625
440788.677933291,-37.59765625,-33.69140625,-226.07421875,-32.2265625
440788.681839541,-0.48828125,-35.64453125,648.4375,-27.34375
440788.685745791,-0.9765625,-46.875,307.12890625,-11.23046875
440788.689652041,-16.6015625,-43.9453125,-122.55859375,-17.578125
440788.709141458,-20.5078125,-39.55078125,31.25,-24.4140625
440788.713047708,1.953125,-38.0859375,495.1171875,-16.11328125
440788.716953958,14.6484375,-35.64453125,414.0625,-12.20703125
440788.720860208,-20.5078125,-35.15625,41.015625,-14.16015625
440788.724766458,-39.0625,-42.96875,-83.984375,-16.6015625
440788.728672708,-9.765625,-41.015625,-4.8828125,-11.23046875
440788.732578958,24.4140625,-26.85546875,-117.1875,-2.44140625
440788.736485208,2.44140625,-25.390625,-183.10546875,-10.7421875
440788.740391458,-36.62109375,-40.0390625,-333.0078125,-20.99609375
440788.757825833,-24.4140625,-40.0390625,-149.4140625,-26.3671875
440788.761732083,5.37109375,-36.1328125,288.0859375,-19.53125
440788.765638333,-1.46484375,-35.64453125,420.8984375,-7.32421875
440788.74803025,-23.4375,-35.15625,-25.87890625,-12.6953125
440788.7519365,-18.5546875,-38.57421875,-142.08984375,-15.13671875
440788.75584275,8.7890625,-44.921875,409.66796875,-14.16015625
440788.759749,13.18359375,-47.36328125,617.1875,-10.7421875
440788.76365525,-16.6015625,-49.31640625,95.21484375,-5.859375
440788.7675615,-34.1796875,-55.6640625,-529.78515625,-17.578125
440788.77146775,-16.11328125,-57.12890625,-186.03515625,-11.71875
440788.775374,-0.9765625,-51.26953125,570.3125,-7.8125
440788.77928025,-27.34375,-46.38671875,237.79296875,-15.625
440788.7831865,-43.9453125,-39.0625,-525.390625,-14.16015625
440788.78709275,-9.27734375,-38.57421875,-290.52734375,-12.20703125
440788.790999,14.16015625,-36.1328125,496.09375,-10.7421875
440788.797475,-7.32421875,-36.62109375,380.859375,-13.671875
440788.80138125,-36.62109375,-42.48046875,-572.265625,-13.671875
