lsl_timestamp,wall_time,code,is_target,char_idx,rep
1788484938.4492188,1788484938.446889,3,1,1,7
1788484938.6289062,1788484938.627242,12,0,1,7
1788484938.8085938,1788484938.8076,7,0,1,7
1788484938.9921875,1788484938.988631,9,1,1,8
1788484939.171875,1788484939.169097,2,0,1,8
1788484939.3515625,1788484939.348641,11,0,1,8
1788484939.53125,1788484939.528947,1,0,1,8
1788484939.7109375,1788484939.709354,4,0,1,8
1788484939.890625,1788484939.889742,12,0,1,8
1788484940.0703125,1788484940.070047,8,0,1,8
1788484940.2539062,1788484940.250516,10,0,1,8
1788484940.4335938,1788484940.430451,6,0,1,8
1788484940.6132812,1788484940.610309,7,0,1,8
1788484940.7929688,1788484940.789264,5,0,1,8
1788484940.9726562,1788484940.969741,3,1,1,8
1788484941.1523438,1788484941.149383,11,0,1,9
1788484941.3320312,1788484941.329696,3,1,1,9
1788484941.5117188,1788484941.509512,12,0,1,9
1788484941.6914062,1788484941.688278,10,0,1,9
1788484941.8710938,1788484941.867502,8,0,1,9
1788484942.0507812,1788484942.047541,4,0,1,9
1788484942.2304688,1788484942.227861,6,0,1,9
1788484942.4101562,1788484942.40848,1,0,1,9
1788484942.5898438,1788484942.588572,9,1,1,9
1788484942.7695312,1788484942.768417,7,0,1,9
1788484942.9492188,1788484942.948195,2,0,1,9
1788484943.1289062,1788484943.128416,5,0,1,9
1788484943.3085938,1788484943.307756,10,0,1,10
1788484943.4921875,1788484943.488554,8,0,1,10
1788484943.671875,1788484943.668821,3,1,1,10
1788484943.8515625,1788484943.84836,6,0,1,10
1788484944.03125,1788484944.028536,9,1,1,10
1788484944.2109375,1788484944.20844,12,0,1,10
1788484944.390625,1788484944.388269,1,0,1,10
1788484944.5703125,1788484944.568648,7,0,1,10
1788484944.75,1788484944.748442,2,0,1,10
1788484944.9296875,1788484944.928525,4,0,1,10
1788484945.109375,1788484945.10716,5,0,1,10
1788484945.2890625,1788484945.286779,11,0,1,10
1788484945.46875,1788484945.465518,1,0,1,11
1788484945.6484375,1788484945.644873,2,0,1,11
1788484945.828125,1788484945.825157,9,1,1,11
1788484946.0078125,1788484946.004366,7,0,1,11
1788484946.1875,1788484946.184418,5,0,1,11
1788484946.3671875,1788484946.364236,12,0,1,11
1788484946.546875,1788484946.544664,11,0,1,11
1788484946.7265625,1788484946.724406,8,0,1,11
1788484946.90625,1788484946.904153,4,0,1,11
1788484947.0859375,1788484947.084008,3,1,1,11
1788484947.265625,1788484947.264433,10,0,1,11
1788484947.4453125,1788484947.444604,6,0,1,11
1788484947.625,1788484947.624731,2,0,1,12
1788484947.8046875,1788484947.804043,12,0,1,12
1788484947.984375,1788484947.984288,1,0,1,12
1788484948.1679688,1788484948.164611,4,0,1,12
1788484948.3476562,1788484948.3443,3,1,1,12
1788484948.5273438,1788484948.523934,10,0,1,12
1788484948.7070312,1788484948.704529,5,0,1,12
1788484948.8867188,1788484948.883517,6,0,1,12
1788484949.0664062,1788484949.063217,7,0,1,12
1788484949.2460938,1788484949.243228,11,0,1,12
1788484949.4257812,1788484949.422666,8,0,1,12
1788484949.6054688,1788484949.602802,9,1,1,12
1788484949.7851562,1788484949.782905,2,0,1,13
1788484949.9648438,1788484949.961856,11,0,1,13
1788484950.1445312,1788484950.1425,7,0,1,13
1788484950.3242188,1788484950.321934,6,0,1,13
1788484950.5039062,1788484950.501719,1,0,1,13
1788484950.6835938,1788484950.68037,9,1,1,13
1788484950.8632812,1788484950.859739,5,0,1,13
1788484951.0429688,1788484951.040002,8,0,1,13
1788484951.2226562,1788484951.218832,10,0,1,13
1788484951.4023438,1788484951.39899,3,1,1,13
1788484951.578125,1788484951.577275,4,0,1,13
1788484951.7578125,1788484951.756294,12,0,1,13
1788484951.9375,1788484951.936232,7,0,1,14
1788484952.1171875,1788484952.116062,12,0,1,14
1788484952.296875,1788484952.296325,10,0,1,14
1788484952.4765625,1788484952.475748,5,0,1,14
1788484952.65625,1788484952.65569,2,0,1,14
1788484952.8359375,1788484952.835461,8,0,1,14
1788484953.015625,1788484953.013973,6,0,1,14
1788484953.1953125,1788484953.194606,11,0,1,14
1788484953.375,1788484953.374214,3,1,1,14
1788484953.5546875,1788484953.554025,1,0,1,14
1788484953.7382812,1788484953.734908,9,1,1,14
1788484953.9140625,1788484953.913858,4,0,1,14
1788484954.0976562,1788484954.094892,9,1,1,15
1788484954.2773438,1788484954.275286,6,0,1,15
1788484954.4570312,1788484954.45594,5,0,1,15
1788484954.6367188,1788484954.636253,12,0,1,15
1788484954.8164062,1788484954.815404,11,0,1,15
1788484954.9960938,1788484954.995185,10,0,1,15
1788484955.1757812,1788484955.174851,3,1,1,15
1788484955.3554688,1788484955.353124,4,0,1,15
1788484955.5351562,1788484955.533295,2,0,1,15
1788484955.7148438,1788484955.711932,7,0,1,15
1788484955.8945312,1788484955.892723,1,0,1,15
1788484956.0742188,1788484956.072389,8,0,1,15
1788484958.7617188,1788484958.760366,3,0,2,1
1788484958.9414062,1788484958.940198,10,0,2,1
1788484959.1210938,1788484959.119473,11,0,2,1
1788484959.3007812,1788484959.298935,2,0,2,1
1788484959.4804688,1788484959.477693,7,0,2,1
1788484959.6601562,1788484959.65835,1,0,2,1
1788484959.8398438,1788484959.839039,5,0,2,1
1788484960.0234375,1788484960.019868,6,1,2,1
1788484960.1992188,1788484960.199143,4,0,2,1
1788484960.3789062,1788484960.378873,9,1,2,1
1788484960.5625,1788484960.559875,8,0,2,1
